trial_id,case,expected,observed,pass,expected_pulses,matched_pulses,missed_pulses,split_pulses,merged_groups,extra_output_pulses,detection_ratio,acquisition_limited_events,fs,source_width_s,latency_min_s,latency_max_s,minimum_valid_width_s,source_amplitude,output_noise,first_event_class,first_event_confidence,first_event_peak,estimated_tau_s,estimated_cutoff_hz
556,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.000243892504727638,0.00015447953426819653,0.002340267133051596,9.75570018910552e-05,26.383575473975753,0.07748398996194646,pulse merging,high,26.61828873429479,,
557,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.00023829039388482926,0.0001326483210036861,0.0032170747439423273,9.531615755393171e-05,25.66019010599329,0.10186487683829121,pulse merging,high,26.03925522340161,,
558,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00028254147627090637,0.0002120042002114279,0.0029922455635177933,0.00011301659050836255,20.4627786886978,0.06579928425581968,pulse merging,high,20.66509195209817,,
559,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.0002018771711429855,0.0001454259593129963,0.0029990240237431115,8.07508684571942e-05,25.172279796447736,0.08591014776120676,pulse merging,high,25.429963163203475,,
560,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,400000.0,0.00018389248398203984,0.00019151158050313818,0.00209499059781133,7.355699359281595e-05,23.04319251708023,0.10342729607059281,pulse merging,high,23.34181897712431,,
561,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00020692605438663112,0.00015789249722301637,0.0031511604521643984,8.277042175465245e-05,22.81668970568687,0.08920398703423699,pulse merging,high,23.052281972115374,,
562,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00025093779979686157,0.00019877275142045808,0.0024552566105549233,0.00010037511991874463,23.95569470972843,0.06446711588940272,pulse merging,high,24.23214987575024,,
563,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00023619943354572236,0.00016339900148772596,0.0027749808617508367,9.447977341828895e-05,21.034285989882434,0.05262764856033552,pulse merging,high,21.187449350151685,,
564,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.0002154766193494252,8.957023182629942e-05,0.0020998232230051857,8.619064773977008e-05,22.33974030791832,0.021962370608143853,pulse merging,high,22.402720923047106,,
565,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.00025841990515935526,0.0002484183989923918,0.0021067709664584393,0.00010336796206374211,21.43941077034946,0.046767608062173525,pulse merging,high,21.61794276472891,,
566,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,400000.0,0.0003145882183598948,0.00018883990967756515,0.0031178395265475225,0.00012583528734395793,25.698736686380343,0.09382142547856054,pulse merging,high,25.9808692970254,,
567,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.00030971397250790475,0.00023984432267116953,0.002455938041319999,0.0001238855890031619,22.68995071725538,0.05271812383656392,pulse merging,high,22.845171330495763,,
568,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.0003128704377491923,0.00021074687184852772,0.002899361990155675,0.00012514817509967692,24.46501236423597,0.06790781487071666,pulse merging,high,24.701627907148396,,
569,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.0002721786478210352,0.00015596878674209092,0.0029447599488467203,0.00010887145912841407,27.366679968098083,0.025839906018903815,pulse merging,high,27.459154478996723,,
