Family,Region,True pole,Collective fitted pole,Single fitted pole,True start,Collective fitted start,Single fitted start
9,4,-20.676330739011846,-20.326529287084,-22.084531217233312,125,126,126
9,5,-29.177392297048172,-28.32455202526461,-23.99457931044167,170,171,168
9,6,-14.666535207613693,-15.848507336610563,-17.219213869646232,212,213,213
10,1,-4.46577456879378,-1.833747507331901,-8.161852192338433,0,0,0
10,2,-10.13866294279979,-6.9141502952803435,-0.8,64,45,51
10,3,-30.89067429721289,-9.634709742287807,-39.46961313959834,97,66,90
10,4,-15.989789756402791,-30.774287365112826,-55.0,125,99,114
10,5,-12.693895626786647,-20.326529287084,-55.0,172,126,135
10,6,-12.132166275402206,-0.8,-22.084531217233312,197,183,186
11,1,-3.953649229224896,-3.0164023204439605,-14.586913589671289,0,0,0
11,2,-15.821833740655848,-6.9141502952803435,-3.0164023204439605,28,30,30
11,3,-6.383565655763356,-5.857184518803278,-13.425746889173139,54,75,84
11,4,-24.03074618059379,-20.326529287084,-55.0,132,132,138
11,5,-17.223019478934408,-15.848507336610563,-36.32770102930122,165,165,168
11,6,-3.014167678547036,-3.0164023204439605,-26.06982374322739,191,192,210
12,1,-15.21541495472458,-13.425746889173139,-14.586913589671289,0,0,0
12,2,-2.266154233609372,-3.0164023204439605,-15.848507336610563,55,57,48
12,3,-27.511985964974738,-30.774287365112826,-28.32455202526461,86,90,81
12,4,-11.583906242717994,-12.357012909144409,-17.219213869646232,124,126,129
12,5,-2.9132613646122745,-7.512141688339704,-23.99457931044167,160,165,165
12,6,-2.7013533192539247,-0.8,-0.8,186,186,219
13,1,-16.87679239099995,-14.586913589671289,-14.586913589671289,0,0,0
13,2,-3.124586055608252,-0.8,-55.0,28,27,42
13,3,-20.980656784801205,-18.708470141140005,-55.0,79,81,81
13,4,-18.98854734990211,-18.708470141140005,-20.326529287084,104,105,102
13,5,-5.321014264642358,-3.2772850824025843,-0.8,162,162,159
13,6,-11.044093249032285,-11.373353698474634,-0.8,199,198,183
14,1,-7.82404064639222,-7.512141688339704,-10.467997023365006,0,0,0
14,2,-2.16872239811675,-0.8,-0.8,56,57,48
14,3,-2.7216398441601597,-1.6877751239661007,-4.203287400807451,83,84,75
14,4,-4.258082683784512,-20.326529287084,-33.435895543406936,130,135,132
14,5,-3.4720663736727686,-3.868691783137035,-1.3159509947289614,159,156,153
14,6,-21.4011224353601,-20.326529287084,-0.8,213,213,207
15,1,-6.702087618301724,-3.868691783137035,-0.8,0,0,0
15,2,-3.178040659676708,-0.8,-0.8,38,57,57
15,3,-16.530188132743742,-14.586913589671289,-8.161852192338433,71,105,108
15,4,-16.444136572776024,-15.848507336610563,-55.0,105,126,141
15,5,-23.367461867581593,-22.084531217233312,-20.326529287084,171,171,171
15,6,-16.63756371864113,-20.326529287084,-18.708470141140005,204,204,204
16,1,-16.427852486530693,-15.848507336610563,-17.219213869646232,0,0,0
16,2,-11.468732728406739,-9.634709742287807,-6.363761000398675,55,54,51
16,3,-9.405278460776014,-8.161852192338433,-17.219213869646232,87,87,87
16,4,-6.538523569495888,-5.857184518803278,-15.848507336610563,112,111,117
16,5,-2.83631992845869,-1.553422626446251,-0.8,155,156,168
16,6,-4.96647360305798,-4.961797042613721,-5.857184518803278,186,186,192
17,1,-2.218754426039925,-2.3518758972837563,-5.390933205247584,0,0,0
17,2,-2.159664968668621,-22.084531217233312,-18.708470141140005,49,54,51
17,3,-27.145191085247323,-46.592153016123966,-14.586913589671289,76,87,90
17,4,-20.43312496134279,-17.219213869646232,-2.164658775660178,145,144,144
17,5,-2.667864142746698,-2.5552850631330246,-0.8,170,171,165
17,6,-3.851491393834878,-3.868691783137035,-3.868691783137035,213,213,213
18,1,-18.20328282913501,-17.219213869646232,-2.5552850631330246,0,0,0
18,2,-4.843102400794195,-6.9141502952803435,-30.774287365112826,39,42,45
18,3,-2.195621891182876,-3.868691783137035,-0.8,82,87,81
18,4,-32.585321628261845,-30.774287365112826,-26.06982374322739,144,144,105
18,5,-4.91543169513888,-12.357012909144409,-26.06982374322739,179,174,144
18,6,-17.503587332074403,-4.961797042613721,-50.621817587743905,214,201,201
19,1,-2.322013183067404,-0.8,-14.586913589671289,0,0,0
19,2,-13.111366374050384,-13.425746889173139,-8.86775489245368,36,36,33
19,3,-3.923324748279163,-0.8,-8.86775489245368,107,93,72
19,4,-16.83456732784138,-17.219213869646232,-28.32455202526461,139,138,126
19,5,-26.097401794991793,-0.8,-42.88326310913597,180,189,177
19,6,-24.087076872609227,-23.99457931044167,-30.774287365112826,209,210,210
20,1,-33.6374611531089,-33.435895543406936,-33.435895543406936,0,0,0
20,2,-17.089730186035705,-17.219213869646232,-26.06982374322739,29,30,33
20,3,-9.974500378076483,-10.467997023365006,-28.32455202526461,70,72,84
20,4,-2.1882792543707072,-0.8,-39.46961313959834,134,129,138
20,5,-5.201926607038667,-8.86775489245368,-55.0,186,174,171
20,6,-9.101939867063024,-10.467997023365006,-0.8,213,213,198
21,1,-27.470268649328826,-23.99457931044167,-23.99457931044167,0,0,0
21,2,-5.177598696346439,-4.961797042613721,-14.586913589671289,45,48,48
21,3,-5.831322082935094,-5.857184518803278,-12.357012909144409,101,105,78
21,4,-10.535020342723678,-8.86775489245368,-2.5552850631330246,131,132,126
21,5,-11.08231185138597,-5.857184518803278,-11.373353698474634,165,165,165
21,6,-5.70830897415245,-13.425746889173139,-0.8,214,186,219
22,1,-3.8710544962647604,-4.961797042613721,-1.3159509947289614,0,0,0
22,2,-7.763587687971568,-6.9141502952803435,-17.219213869646232,30,30,33
22,3,-4.570062223954651,-14.586913589671289,-1.833747507331901,56,54,84
22,4,-11.644962847259785,-8.86775489245368,-22.084531217233312,95,96,132
22,5,-25.792522385486816,-26.06982374322739,-55.0,130,132,183
